epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2943.74,0.70451,0.4182,0.83742,0.898,0.35281,0.47171,0.34757,0.87657,0.38651,0.99837,0.0002576,0.0002576,0.0002576
90,2975.69,0.6658,0.40412,0.84222,0.89871,0.35536,0.48301,0.32767,0.96344,0.37286,1.02418,0.0002378,0.0002378,0.0002378
91,3056.88,0.64744,0.39914,0.83841,0.89918,0.35706,0.51559,0.36383,0.87514,0.41196,0.98874,0.000218,0.000218,0.000218
92,3094.4,0.64314,0.39849,0.82657,0.98711,0.32,0.48511,0.33249,0.91619,0.40001,1.01805,0.0001982,0.0001982,0.0001982
93,3133.32,0.62662,0.38439,0.83082,0.98743,0.32,0.48205,0.34289,0.92044,0.38187,0.99856,0.0001784,0.0001784,0.0001784
94,3171.55,0.64258,0.38939,0.82518,0.98694,0.32,0.46461,0.33659,0.94764,0.37262,1.05525,0.0001586,0.0001586,0.0001586
95,3206.74,0.63254,0.38196,0.84137,0.98316,0.32,0.48736,0.35686,0.9131,0.40336,1.00814,0.0001388,0.0001388,0.0001388
96,3245.73,0.65704,0.38859,0.82172,0.98617,0.32,0.4749,0.35471,0.95907,0.41462,1.03421,0.000119,0.000119,0.000119
97,3282.58,0.61584,0.37367,0.81229,0.98812,0.32,0.53075,0.36334,0.95394,0.39079,1.03307,9.92e-05,9.92e-05,9.92e-05
98,3321.13,0.60817,0.37132,0.8181,0.98934,0.32,0.49332,0.34347,0.95933,0.39517,1.03842,7.94e-05,7.94e-05,7.94e-05
99,3352.08,0.59236,0.35705,0.81987,0.89827,0.35376,0.52428,0.36238,0.95752,0.40394,1.02628,5.96e-05,5.96e-05,5.96e-05
100,3388.51,0.61501,0.38163,0.82348,0.89972,0.35899,0.54035,0.38779,0.93196,0.38819,1.02546,3.98e-05,3.98e-05,3.98e-05
