epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,1520.92,1.20704,2.3146,0.88881,0.45556,0.36283,0.46301,0.31562,1.7038,4.77444,1.11416,0.0008582,0.0008582,0.0008582
175,1529.85,1.27932,2.40833,0.89396,0.67014,0.29204,0.39311,0.25829,1.76948,4.37163,1.13865,0.0008516,0.0008516,0.0008516
176,1538.75,1.22946,2.36687,0.89318,0.856,0.23894,0.36951,0.244,1.67189,4.83969,1.10261,0.000845,0.000845,0.000845
177,1548.18,1.23358,2.29391,0.88729,0.85993,0.30973,0.43885,0.28227,1.6475,4.69715,1.06245,0.0008384,0.0008384,0.0008384
178,1558.6,1.25778,2.34573,0.89632,0.84497,0.26549,0.40872,0.28346,1.68396,4.74813,1.07681,0.0008318,0.0008318,0.0008318
179,1567.89,1.22026,2.34475,0.89333,0.6953,0.25664,0.4201,0.28772,1.6953,5.12527,1.08172,0.0008252,0.0008252,0.0008252
180,1576.56,1.24031,2.34726,0.8894,0.76079,0.25337,0.37519,0.25465,1.69848,5.15658,1.07474,0.0008186,0.0008186,0.0008186
181,1585.51,1.26078,2.38732,0.89672,0.82485,0.26549,0.3951,0.25694,1.7926,5.24186,1.12813,0.000812,0.000812,0.000812
182,1594.81,1.23012,2.34859,0.89211,0.7706,0.29204,0.40846,0.27369,1.78577,5.22519,1.10469,0.0008054,0.0008054,0.0008054
183,1604.42,1.23128,2.27323,0.89001,0.80713,0.30088,0.42415,0.28128,1.71953,4.99514,1.10515,0.0007988,0.0007988,0.0007988
